Removing conda
Loading conda
I: 0.0, A: 0.0, B: 0.0, trace: 1.1503527164459229, determinant: 0.32798251509666443, classification: unstable node source, stable: False
I: 0.949999988079071, A: 0.4318000078201294, B: 0.9873999953269958, trace: -1.6245359182357788, determinant: -0.18584084510803223, classification: unstable saddle node, stable: False
I: 0.949999988079071, A: 0.6065000295639038, B: 0.9879999756813049, trace: -1.9738132953643799, determinant: 0.2657894492149353, classification: stable node sink, stable: True
I: 0.9599999785423279, A: 0.06689999997615814, B: 0.98580002784729, trace: -2.2623133659362793, determinant: 1.1222145557403564, classification: stable node sink, stable: True
I: 0.9599999785423279, A: 0.4246000051498413, B: 0.9873999953269958, trace: -1.615830421447754, determinant: -0.19402316212654114, classification: unstable saddle node, stable: False
I: 0.9599999785423279, A: 0.6105999946594238, B: 0.988099992275238, trace: -1.9868930578231812, determinant: 0.28447532653808594, classification: stable node sink, stable: True
I: 0.9700000286102295, A: 0.06830000132322311, B: 0.98580002784729, trace: -2.244056224822998, determinant: 1.093721628189087, classification: stable node sink, stable: True
I: 0.9700000286102295, A: 0.41760000586509705, B: 0.9872999787330627, trace: -1.606748342514038, determinant: -0.20124602317810059, classification: unstable saddle node, stable: False
I: 0.9700000286102295, A: 0.41760000586509705, B: 0.9873999953269958, trace: -1.6077111959457397, determinant: -0.20134805142879486, classification: unstable saddle node, stable: False
I: 0.9700000286102295, A: 0.6144999861717224, B: 0.988099992275238, trace: -1.9986076354980469, determinant: 0.3025555908679962, classification: stable node sink, stable: True
I: 0.9800000190734863, A: 0.06970000267028809, B: 0.98580002784729, trace: -2.2262771129608154, determinant: 1.0659321546554565, classification: stable node sink, stable: True
I: 0.9800000190734863, A: 0.4108999967575073, B: 0.9872999787330627, trace: -1.599311351776123, determinant: -0.20764945447444916, classification: unstable saddle node, stable: False
I: 0.9800000190734863, A: 0.6180999875068665, B: 0.988099992275238, trace: -2.0096499919891357, determinant: 0.3197002410888672, classification: stable node sink, stable: True
I: 0.9900000095367432, A: 0.07119999825954437, B: 0.98580002784729, trace: -2.207704782485962, determinant: 1.036858081817627, classification: stable node sink, stable: True
I: 0.9900000095367432, A: 0.4043000042438507, B: 0.9872999787330627, trace: -1.5922870635986328, determinant: -0.21341262757778168, classification: unstable saddle node, stable: False
I: 0.9900000095367432, A: 0.6215000152587891, B: 0.988099992275238, trace: -2.020270824432373, determinant: 0.33627691864967346, classification: stable node sink, stable: True
